id;numar_polita;serie_polita;cod_oferta;data_start;data_end;perioada;id_produs;valuta;suma_plata;id_agent
1;reboot Bacon infrastructures;Steel;olive copying;2021-09-13;2021-09-14;65317;bus Generi;Unbranded ;7404659360;Extended Research
2;white encompassing blue;Account Madagascar;connect RAM transmit;2021-09-14;2021-09-14;45242;bus Chief;Synergized;3110161281;Springs
3;SMS;Account Avon generating;Checking Georgia;2021-09-14;2021-09-14;37235;function;Bermuda;1603481417;Bedfordshire European
4;Markets e-business Concrete;cross-media quantifying Health;Practical Soft Soap;2021-09-14;2021-09-14;87648;portals;hardware;508371654;Unbranded
5;context-sensitive Clothing;Architect bypassing;Riel Program;2021-09-14;2021-09-14;84689;XML;Implementa;9012546681;optical calculating
6;invoice capacitor;U.S. Interactions;payment metrics invoice;2021-09-14;2021-09-14;43914;explicit d;SMTP Berks;2242388906;Tuna Euro
7;Vermont Automotive;Dollar;feed;2021-09-13;2021-09-14;40706;SSL Island;violet man;921021958;Berkshire Investment
8;Ergonomic 1080p withdrawal;program synergize;Ball systematic GB;2021-09-13;2021-09-14;42487;Pennsylvan;communitie;5852315498;synergize Account
9;New Ruble;Applications;Berkshire SMS Sleek;2021-09-14;2021-09-14;80271;networks;SAS Fresh;2396411949;asymmetric
10;Kuna;payment turquoise Architect;Soft;2021-09-14;2021-09-14;51242;administra;Shirt Intr;7099371438;deposit Kuwaiti array
