id;cod_oferta;numar_polita;serie_polita;suma_platita;status_plata;data_plata;valuta;referinta_ing
1;Kentucky;Gorgeous;Chips Wyoming;2943371192;WAITING;2021-09-14;parsing cr;invoice
2;Garden scale;Innovative SQL Checking;Small Caledonia connecting;9844134224;NEW;2021-09-13;Cambridges;e-tailers Technician navigating
3;high-level Industrial digital;end-to-end optimize Awesome;Pizza Facilitator;3948084698;REJECTED;2021-09-13;Ergonomic ;enable
4;Island optical olive;plum monitor mindshare;compressing Maryland;8866096192;CONFIRMED;2021-09-14;Pizza mult;SSL Tools parsing
5;Architect holistic magenta;Indonesia;Lek Franc calculate;5573946593;REJECTED;2021-09-13;Salad Shil;Automotive
6;Towels;Malaysia;ADP Chair green;3106335431;REJECTED;2021-09-14;Industrial;synergies digital
7;International Mexico software;Pants overriding;Cambridgeshire Delaware Assistant;2610107779;REJECTED;2021-09-14;African;maroon Bedfordshire connecting
8;utilisation PCI;visualize application initiatives;Alaska;9472035567;WAITING;2021-09-14;Haiti cros;Israel Kids
9;back-end;payment;Architect Parkways budgetary;9725351661;CONFIRMED;2021-09-14;Pants;copy database generate
10;driver Car;Sausages COM;Hryvnia feed Buckinghamshire;3734739585;NEW;2021-09-14;Internatio;International
